title,project_title,take_no,label,suno_id,audio_path,cover_path,image_url,status,style_score,lyric_score
Kệ Vô Thường Trên Dòng Sông #1,Kệ Vô Thường Trên Dòng Sông,1,#1,45f9533f-9713-4bdc-84b3-20d2f0458ec7,/root/.openclaw/workspace/suno-automato-cli/suno-library/Phat-Phap/2026-06-30_Ke-Vo-Thuong-Tren-Dong-Song/audio/Ke-Vo-Thuong-Tren-Dong-Song__01.mp3,,,draft,6.7,8.0
Kệ Vô Thường Trên Dòng Sông #2,Kệ Vô Thường Trên Dòng Sông,2,#2,0a9ab4da-f094-4e11-818c-7735fc08d4f0,/root/.openclaw/workspace/suno-automato-cli/suno-library/Phat-Phap/2026-06-30_Ke-Vo-Thuong-Tren-Dong-Song/audio/Ke-Vo-Thuong-Tren-Dong-Song__02.mp3,,,draft,6.7,8.0
Ngọn Đèn Chánh Niệm #1,Ngọn Đèn Chánh Niệm,1,#1,b2c85d79-1413-4a97-8915-42bc0cc5ffda,/root/.openclaw/workspace/suno-automato-cli/suno-library/Phat-Phap/2026-06-30_Ngon-Den-Chanh-Niem/audio/Ngon-Den-Chanh-Niem__01.mp3,,,draft,7.5,7.0
Ngọn Đèn Chánh Niệm #2,Ngọn Đèn Chánh Niệm,2,#2,3caf5b85-3d7c-42dd-81c6-06a7d731b367,/root/.openclaw/workspace/suno-automato-cli/suno-library/Phat-Phap/2026-06-30_Ngon-Den-Chanh-Niem/audio/Ngon-Den-Chanh-Niem__02.mp3,,,draft,7.5,7.0
