title,project_title,take_no,label,suno_id,audio_path,cover_path,image_url,status,style_score,lyric_score
Đế Chế Sao Băng #1,Đế Chế Sao Băng,1,#1,37ec5cb5-9051-4c85-950b-8796f36faf86,/root/.openclaw/workspace/suno-automato-cli/suno-library/Cinematic/2026-06-30_De-Che-Sao-Bang/audio/De-Che-Sao-Bang__01.mp3,,,draft,8.3,8.0
Đế Chế Sao Băng #2,Đế Chế Sao Băng,2,#2,a2ff0a1b-3ec8-47d6-a106-ca4cbcf2bb4e,/root/.openclaw/workspace/suno-automato-cli/suno-library/Cinematic/2026-06-30_De-Che-Sao-Bang/audio/De-Che-Sao-Bang__02.mp3,,,draft,8.3,8.0
Đứa Trẻ Gọi Mặt Trời #1,Đứa Trẻ Gọi Mặt Trời,1,#1,2ab5cec9-4bda-43c2-a979-9c3c726f59a1,/root/.openclaw/workspace/suno-automato-cli/suno-library/Cinematic/2026-07-01_Dua-Tre-Goi-Mat-Troi/audio/Dua-Tre-Goi-Mat-Troi__01.mp3,,,draft,,
Đứa Trẻ Gọi Mặt Trời #2,Đứa Trẻ Gọi Mặt Trời,2,#2,41c3468b-7058-44eb-973b-11990152f30d,/root/.openclaw/workspace/suno-automato-cli/suno-library/Cinematic/2026-07-01_Dua-Tre-Goi-Mat-Troi/audio/Dua-Tre-Goi-Mat-Troi__02.mp3,,,draft,,
Bài Mới Của Biển #1,Bài Mới Của Biển,1,#1,4627f0f4-1d5c-429c-bd1a-7ec9733b22f8,/root/.openclaw/workspace/suno-automato-cli/suno-library/Cinematic/2026-07-01_Bai-Moi-Cua-Bien/audio/Bai-Moi-Cua-Bien__01.mp3,,,draft,,
Bài Mới Của Biển #2,Bài Mới Của Biển,2,#2,76d4082a-31e7-4d80-8d3b-3fcdec76e9ac,/root/.openclaw/workspace/suno-automato-cli/suno-library/Cinematic/2026-07-01_Bai-Moi-Cua-Bien/audio/Bai-Moi-Cua-Bien__02.mp3,,,draft,,
