title,project_title,take_no,label,suno_id,audio_path,cover_path,image_url,status,style_score,lyric_score
Vầng Trăng Trên Nhà Hát Cũ - Glass Orchard #1,Vầng Trăng Trên Nhà Hát Cũ - Glass Orchard,1,#1,5195c6f5-051e-4de1-9d9d-c6ea341e4452,/root/.openclaw/workspace/suno-automato-cli/suno-library/Opera/2026-06-30_Vang-Trang-Tren-Nha-Hat-Cu-Glass-Orchard/audio/Vang-Trang-Tren-Nha-Hat-Cu-Glass-Orchard__01.mp3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Opera/2026-06-30_Vang-Trang-Tren-Nha-Hat-Cu-Glass-Orchard/cover/Vang-Trang-Tren-Nha-Hat-Cu-Glass-Orchard__01.jpeg,https://cdn2.suno.ai/image_5195c6f5-051e-4de1-9d9d-c6ea341e4452.jpeg,draft,9.2,8.0
Vầng Trăng Trên Nhà Hát Cũ - Glass Orchard #2,Vầng Trăng Trên Nhà Hát Cũ - Glass Orchard,2,#2,734f70d6-7fbf-4648-8e56-be1bd1770d1a,/root/.openclaw/workspace/suno-automato-cli/suno-library/Opera/2026-06-30_Vang-Trang-Tren-Nha-Hat-Cu-Glass-Orchard/audio/Vang-Trang-Tren-Nha-Hat-Cu-Glass-Orchard__02.mp3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Opera/2026-06-30_Vang-Trang-Tren-Nha-Hat-Cu-Glass-Orchard/cover/Vang-Trang-Tren-Nha-Hat-Cu-Glass-Orchard__02.jpeg,https://cdn2.suno.ai/image_734f70d6-7fbf-4648-8e56-be1bd1770d1a.jpeg,draft,9.2,8.0
Vầng Trăng Trên Nhà Hát Cũ - Glass Orchard #3,Vầng Trăng Trên Nhà Hát Cũ - Glass Orchard,3,#3,,/root/.openclaw/workspace/suno-automato-cli/suno-library/Opera/2026-06-30_Vang-Trang-Tren-Nha-Hat-Cu-Glass-Orchard/audio/Vang-Trang-Tren-Nha-Hat-Cu-Glass-Orchard__03.mp3,,,draft,9.2,8.0
Khúc Cầu Nguyện Của Bình Minh - Neon Lotus #1,Khúc Cầu Nguyện Của Bình Minh - Neon Lotus,1,#1,e4e7718c-b7b7-4fc9-bf3f-37f23642ac82,/root/.openclaw/workspace/suno-automato-cli/suno-library/Opera/2026-06-30_Khuc-Cau-Nguyen-Cua-Binh-Minh-Neon-Lotus/audio/Khuc-Cau-Nguyen-Cua-Binh-Minh-Neon-Lotus__01.mp3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Opera/2026-06-30_Khuc-Cau-Nguyen-Cua-Binh-Minh-Neon-Lotus/cover/Khuc-Cau-Nguyen-Cua-Binh-Minh-Neon-Lotus__01.jpeg,https://cdn2.suno.ai/image_e4e7718c-b7b7-4fc9-bf3f-37f23642ac82.jpeg,draft,8.3,9.0
Khúc Cầu Nguyện Của Bình Minh - Neon Lotus #2,Khúc Cầu Nguyện Của Bình Minh - Neon Lotus,2,#2,80530e75-2a9b-4cc6-8c05-04c6d6cf0271,/root/.openclaw/workspace/suno-automato-cli/suno-library/Opera/2026-06-30_Khuc-Cau-Nguyen-Cua-Binh-Minh-Neon-Lotus/audio/Khuc-Cau-Nguyen-Cua-Binh-Minh-Neon-Lotus__02.mp3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Opera/2026-06-30_Khuc-Cau-Nguyen-Cua-Binh-Minh-Neon-Lotus/cover/Khuc-Cau-Nguyen-Cua-Binh-Minh-Neon-Lotus__02.jpeg,https://cdn2.suno.ai/image_80530e75-2a9b-4cc6-8c05-04c6d6cf0271.jpeg,draft,8.3,9.0
Opera Bí Mật 1 - Radio Ghost #1,Opera Bí Mật 1 - Radio Ghost,1,#1,12e2373e-840f-409a-a28b-c9335875698d,/root/.openclaw/workspace/suno-automato-cli/suno-library/Opera/2026-06-30_Opera-Bi-Mat-1-Radio-Ghost/audio/Opera-Bi-Mat-1-Radio-Ghost__01.mp3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Opera/2026-06-30_Opera-Bi-Mat-1-Radio-Ghost/cover/Opera-Bi-Mat-1-Radio-Ghost__01.jpeg,https://cdn2.suno.ai/image_12e2373e-840f-409a-a28b-c9335875698d.jpeg,draft,9.2,8.0
Opera Bí Mật 1 - Radio Ghost #2,Opera Bí Mật 1 - Radio Ghost,2,#2,78f96a45-aa3e-4b8e-b37f-27680ff01d25,/root/.openclaw/workspace/suno-automato-cli/suno-library/Opera/2026-06-30_Opera-Bi-Mat-1-Radio-Ghost/audio/Opera-Bi-Mat-1-Radio-Ghost__02.mp3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Opera/2026-06-30_Opera-Bi-Mat-1-Radio-Ghost/cover/Opera-Bi-Mat-1-Radio-Ghost__02.jpeg,https://cdn2.suno.ai/image_78f96a45-aa3e-4b8e-b37f-27680ff01d25.jpeg,draft,9.2,8.0
Opera Bí Mật 2 2 - Ink River #1,Opera Bí Mật 2 2 - Ink River,1,#1,7327287d-faa9-4320-a042-f85a928b1de8,/root/.openclaw/workspace/suno-automato-cli/suno-library/Opera/2026-06-30_Opera-Bi-Mat-2-2-Ink-River/audio/Opera-Bi-Mat-2-2-Ink-River__01.mp3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Opera/2026-06-30_Opera-Bi-Mat-2-2-Ink-River/cover/Opera-Bi-Mat-2-2-Ink-River__01.jpeg,https://cdn2.suno.ai/image_7327287d-faa9-4320-a042-f85a928b1de8.jpeg,draft,9.2,8.0
Opera Bí Mật 2 2 - Ink River #2,Opera Bí Mật 2 2 - Ink River,2,#2,5b3454db-4960-43ca-9cee-a686e6be199b,/root/.openclaw/workspace/suno-automato-cli/suno-library/Opera/2026-06-30_Opera-Bi-Mat-2-2-Ink-River/audio/Opera-Bi-Mat-2-2-Ink-River__02.mp3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Opera/2026-06-30_Opera-Bi-Mat-2-2-Ink-River/cover/Opera-Bi-Mat-2-2-Ink-River__02.jpeg,https://cdn2.suno.ai/image_5b3454db-4960-43ca-9cee-a686e6be199b.jpeg,draft,9.2,8.0
