title,project_title,take_no,label,suno_id,audio_path,cover_path,image_url,status,style_score,lyric_score
Dòng Sông Không Lời - Moon Elevator #1,Dòng Sông Không Lời - Moon Elevator,1,#1,511f15e1-2299-49c3-89e6-9cf53d78f5c4,/root/.openclaw/workspace/suno-automato-cli/suno-library/Instrumental/2026-06-30_Dong-Song-Khong-Loi-Moon-Elevator/audio/Dong-Song-Khong-Loi-Moon-Elevator__01.mp3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Instrumental/2026-06-30_Dong-Song-Khong-Loi-Moon-Elevator/cover/Dong-Song-Khong-Loi-Moon-Elevator__01.jpeg,https://cdn2.suno.ai/image_511f15e1-2299-49c3-89e6-9cf53d78f5c4.jpeg,draft,8.3,2.0
Dòng Sông Không Lời - Moon Elevator #2,Dòng Sông Không Lời - Moon Elevator,2,#2,95269863-937f-4492-b0a8-7e9a9baa8a4a,/root/.openclaw/workspace/suno-automato-cli/suno-library/Instrumental/2026-06-30_Dong-Song-Khong-Loi-Moon-Elevator/audio/Dong-Song-Khong-Loi-Moon-Elevator__02.mp3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Instrumental/2026-06-30_Dong-Song-Khong-Loi-Moon-Elevator/cover/Dong-Song-Khong-Loi-Moon-Elevator__02.jpeg,https://cdn2.suno.ai/image_95269863-937f-4492-b0a8-7e9a9baa8a4a.jpeg,draft,8.3,2.0
Đường Bay Của Ánh Trăng #1,Đường Bay Của Ánh Trăng,1,#1,8c26de83-c5b6-4d42-b914-5b13b5d565d7,/root/.openclaw/workspace/suno-automato-cli/suno-library/Instrumental/2026-06-30_Duong-Bay-Cua-Anh-Trang/audio/Duong-Bay-Cua-Anh-Trang__01.mp3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Instrumental/2026-06-30_Duong-Bay-Cua-Anh-Trang/cover/Duong-Bay-Cua-Anh-Trang__01.jpeg,https://cdn2.suno.ai/image_8c26de83-c5b6-4d42-b914-5b13b5d565d7.jpeg,draft,7.5,2.0
Đường Bay Của Ánh Trăng #2,Đường Bay Của Ánh Trăng,2,#2,da15f850-a698-4b7c-ae58-36ffc834e6ef,/root/.openclaw/workspace/suno-automato-cli/suno-library/Instrumental/2026-06-30_Duong-Bay-Cua-Anh-Trang/audio/Duong-Bay-Cua-Anh-Trang__02.mp3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Instrumental/2026-06-30_Duong-Bay-Cua-Anh-Trang/cover/Duong-Bay-Cua-Anh-Trang__02.jpeg,https://cdn2.suno.ai/image_da15f850-a698-4b7c-ae58-36ffc834e6ef.jpeg,draft,7.5,2.0
Instrumental Bí Mật 1 - Mirror Harbor #1,Instrumental Bí Mật 1 - Mirror Harbor,1,#1,ac7be175-1090-41fe-8b1c-0a6eb5ff75db,/root/.openclaw/workspace/suno-automato-cli/suno-library/Instrumental/2026-06-30_Instrumental-Bi-Mat-1-Mirror-Harbor/audio/Instrumental-Bi-Mat-1-Mirror-Harbor__01.mp3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Instrumental/2026-06-30_Instrumental-Bi-Mat-1-Mirror-Harbor/cover/Instrumental-Bi-Mat-1-Mirror-Harbor__01.jpeg,https://cdn2.suno.ai/image_ac7be175-1090-41fe-8b1c-0a6eb5ff75db.jpeg,draft,7.5,2.0
Instrumental Bí Mật 1 - Mirror Harbor #2,Instrumental Bí Mật 1 - Mirror Harbor,2,#2,7186efd3-573c-4ec1-b4ee-2cf7199c5a0d,/root/.openclaw/workspace/suno-automato-cli/suno-library/Instrumental/2026-06-30_Instrumental-Bi-Mat-1-Mirror-Harbor/audio/Instrumental-Bi-Mat-1-Mirror-Harbor__02.mp3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Instrumental/2026-06-30_Instrumental-Bi-Mat-1-Mirror-Harbor/cover/Instrumental-Bi-Mat-1-Mirror-Harbor__02.jpeg,https://cdn2.suno.ai/image_7186efd3-573c-4ec1-b4ee-2cf7199c5a0d.jpeg,draft,7.5,2.0
Instrumental Bí Mật 2 2 - Moon Elevator #1,Instrumental Bí Mật 2 2 - Moon Elevator,1,#1,722d413a-fb41-448e-bb14-5c19482fb247,/root/.openclaw/workspace/suno-automato-cli/suno-library/Instrumental/2026-06-30_Instrumental-Bi-Mat-2-2-Moon-Elevator/audio/Instrumental-Bi-Mat-2-2-Moon-Elevator__01.mp3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Instrumental/2026-06-30_Instrumental-Bi-Mat-2-2-Moon-Elevator/cover/Instrumental-Bi-Mat-2-2-Moon-Elevator__01.jpeg,https://cdn2.suno.ai/image_722d413a-fb41-448e-bb14-5c19482fb247.jpeg,draft,8.3,2.0
Instrumental Bí Mật 2 2 - Moon Elevator #2,Instrumental Bí Mật 2 2 - Moon Elevator,2,#2,9a863bea-b243-4615-b8c9-55c2e02d7c1b,/root/.openclaw/workspace/suno-automato-cli/suno-library/Instrumental/2026-06-30_Instrumental-Bi-Mat-2-2-Moon-Elevator/audio/Instrumental-Bi-Mat-2-2-Moon-Elevator__02.mp3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Instrumental/2026-06-30_Instrumental-Bi-Mat-2-2-Moon-Elevator/cover/Instrumental-Bi-Mat-2-2-Moon-Elevator__02.jpeg,https://cdn2.suno.ai/image_9a863bea-b243-4615-b8c9-55c2e02d7c1b.jpeg,draft,8.3,2.0
