title,project_title,take_no,label,suno_id,audio_path,cover_path,image_url,status,style_score,lyric_score
Mền Mây Chậm Rơi #1,Mền Mây Chậm Rơi,1,#1,0534ef8d-654c-4d42-ad99-eb772524f106,/root/.openclaw/workspace/suno-automato-cli/suno-library/Relax-Sleep/2026-06-30_Men-May-Cham-Roi/audio/Men-May-Cham-Roi__01.mp3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Relax-Sleep/2026-06-30_Men-May-Cham-Roi/cover/Men-May-Cham-Roi__01.jpeg,https://cdn2.suno.ai/image_0534ef8d-654c-4d42-ad99-eb772524f106.jpeg,draft,6.7,2.0
Mền Mây Chậm Rơi #2,Mền Mây Chậm Rơi,2,#2,f5eb64e9-9922-4df8-b4d2-f1ff4c6b8056,/root/.openclaw/workspace/suno-automato-cli/suno-library/Relax-Sleep/2026-06-30_Men-May-Cham-Roi/audio/Men-May-Cham-Roi__02.mp3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Relax-Sleep/2026-06-30_Men-May-Cham-Roi/cover/Men-May-Cham-Roi__02.jpeg,https://cdn2.suno.ai/image_f5eb64e9-9922-4df8-b4d2-f1ff4c6b8056.jpeg,draft,6.7,2.0
Đêm Thở Qua Rừng #1,Đêm Thở Qua Rừng,1,#1,f75d1d76-1d91-4a79-a44a-f929c93668b5,/root/.openclaw/workspace/suno-automato-cli/suno-library/Relax-Sleep/2026-06-30_Dem-Tho-Qua-Rung/audio/Dem-Tho-Qua-Rung__01.mp3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Relax-Sleep/2026-06-30_Dem-Tho-Qua-Rung/cover/Dem-Tho-Qua-Rung__01.jpeg,https://cdn2.suno.ai/image_f75d1d76-1d91-4a79-a44a-f929c93668b5.jpeg,draft,6.7,2.0
Đêm Thở Qua Rừng #2,Đêm Thở Qua Rừng,2,#2,851b8536-6cf6-419e-9469-b132a5b535e1,/root/.openclaw/workspace/suno-automato-cli/suno-library/Relax-Sleep/2026-06-30_Dem-Tho-Qua-Rung/audio/Dem-Tho-Qua-Rung__02.mp3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Relax-Sleep/2026-06-30_Dem-Tho-Qua-Rung/cover/Dem-Tho-Qua-Rung__02.jpeg,https://cdn2.suno.ai/image_851b8536-6cf6-419e-9469-b132a5b535e1.jpeg,draft,6.7,2.0
Relax-Sleep Bí Mật 1 #1,Relax-Sleep Bí Mật 1,1,#1,002a8992-eb7f-42b5-bf97-84072c88c705,/root/.openclaw/workspace/suno-automato-cli/suno-library/Relax-Sleep/2026-06-30_Relax-Sleep-Bi-Mat-1/audio/Relax-Sleep-Bi-Mat-1__01.mp3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Relax-Sleep/2026-06-30_Relax-Sleep-Bi-Mat-1/cover/Relax-Sleep-Bi-Mat-1__01.jpeg,https://cdn2.suno.ai/image_002a8992-eb7f-42b5-bf97-84072c88c705.jpeg,draft,5.8,2.0
Relax-Sleep Bí Mật 1 #2,Relax-Sleep Bí Mật 1,2,#2,53250bc7-0461-4aa6-83fa-a6a430c98283,/root/.openclaw/workspace/suno-automato-cli/suno-library/Relax-Sleep/2026-06-30_Relax-Sleep-Bi-Mat-1/audio/Relax-Sleep-Bi-Mat-1__02.mp3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Relax-Sleep/2026-06-30_Relax-Sleep-Bi-Mat-1/cover/Relax-Sleep-Bi-Mat-1__02.jpeg,https://cdn2.suno.ai/image_53250bc7-0461-4aa6-83fa-a6a430c98283.jpeg,draft,5.8,2.0
Relax-Sleep Bí Mật 2 2 - Subway Temple #1,Relax-Sleep Bí Mật 2 2 - Subway Temple,1,#1,4d34516e-7ae6-4573-9267-6809d1488e79,/root/.openclaw/workspace/suno-automato-cli/suno-library/Relax-Sleep/2026-06-30_Relax-Sleep-Bi-Mat-2-2-Subway-Temple/audio/Relax-Sleep-Bi-Mat-2-2-Subway-Temple__01.mp3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Relax-Sleep/2026-06-30_Relax-Sleep-Bi-Mat-2-2-Subway-Temple/cover/Relax-Sleep-Bi-Mat-2-2-Subway-Temple__01.jpeg,https://cdn2.suno.ai/image_4d34516e-7ae6-4573-9267-6809d1488e79.jpeg,draft,6.7,2.0
Relax-Sleep Bí Mật 2 2 - Subway Temple #2,Relax-Sleep Bí Mật 2 2 - Subway Temple,2,#2,bcce4457-e7aa-4a95-863d-4ca76a8311b2,/root/.openclaw/workspace/suno-automato-cli/suno-library/Relax-Sleep/2026-06-30_Relax-Sleep-Bi-Mat-2-2-Subway-Temple/audio/Relax-Sleep-Bi-Mat-2-2-Subway-Temple__02.mp3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Relax-Sleep/2026-06-30_Relax-Sleep-Bi-Mat-2-2-Subway-Temple/cover/Relax-Sleep-Bi-Mat-2-2-Subway-Temple__02.jpeg,https://cdn2.suno.ai/image_bcce4457-e7aa-4a95-863d-4ca76a8311b2.jpeg,draft,6.7,2.0
