title,project_title,take_no,label,suno_id,audio_path,cover_path,image_url,status,style_score,lyric_score
Vườn Kẹo Cầu Vồng #1,Vườn Kẹo Cầu Vồng,1,#1,59b85229-66a6-4fe7-829c-7f8b201b923e,/root/.openclaw/workspace/suno-automato-cli/suno-library/Thieu-Nhi/2026-06-30_Vuon-Keo-Cau-Vong/audio/Vuon-Keo-Cau-Vong__01.mp3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Thieu-Nhi/2026-06-30_Vuon-Keo-Cau-Vong/cover/Vuon-Keo-Cau-Vong__01.jpeg,https://cdn2.suno.ai/image_59b85229-66a6-4fe7-829c-7f8b201b923e.jpeg,draft,9.2,8.0
Vườn Kẹo Cầu Vồng #2,Vườn Kẹo Cầu Vồng,2,#2,8239f364-5752-4a7d-83a0-db7d205e223f,/root/.openclaw/workspace/suno-automato-cli/suno-library/Thieu-Nhi/2026-06-30_Vuon-Keo-Cau-Vong/audio/Vuon-Keo-Cau-Vong__02.mp3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Thieu-Nhi/2026-06-30_Vuon-Keo-Cau-Vong/cover/Vuon-Keo-Cau-Vong__02.jpeg,https://cdn2.suno.ai/image_8239f364-5752-4a7d-83a0-db7d205e223f.jpeg,draft,9.2,8.0
Thieu-Nhi Bí Mật 7 7 #1,Thieu-Nhi Bí Mật 7 7,1,#1,75abb679-e898-4590-8efc-e3056d01aaeb,/root/.openclaw/workspace/suno-automato-cli/suno-library/Thieu-Nhi/2026-06-30_Thieu-Nhi-Bi-Mat-7-7/audio/Thieu-Nhi-Bi-Mat-7-7__01.mp3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Thieu-Nhi/2026-06-30_Thieu-Nhi-Bi-Mat-7-7/cover/Thieu-Nhi-Bi-Mat-7-7__01.jpeg,https://cdn2.suno.ai/image_75abb679-e898-4590-8efc-e3056d01aaeb.jpeg,draft,9.2,8.0
Thieu-Nhi Bí Mật 7 7 #2,Thieu-Nhi Bí Mật 7 7,2,#2,6b2e1c86-b91d-4abb-b3c3-cd0034391042,/root/.openclaw/workspace/suno-automato-cli/suno-library/Thieu-Nhi/2026-06-30_Thieu-Nhi-Bi-Mat-7-7/audio/Thieu-Nhi-Bi-Mat-7-7__02.mp3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Thieu-Nhi/2026-06-30_Thieu-Nhi-Bi-Mat-7-7/cover/Thieu-Nhi-Bi-Mat-7-7__02.jpeg,https://cdn2.suno.ai/image_6b2e1c86-b91d-4abb-b3c3-cd0034391042.jpeg,draft,9.2,8.0
Thieu-Nhi Bí Mật 2 2 #1,Thieu-Nhi Bí Mật 2 2,1,#1,c4080ef2-9a0a-470f-9d2a-705e0811a7a1,/root/.openclaw/workspace/suno-automato-cli/suno-library/Thieu-Nhi/2026-07-01_Thieu-Nhi-Bi-Mat-2-2/audio/Thieu-Nhi-Bi-Mat-2-2__01.mp3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Thieu-Nhi/2026-07-01_Thieu-Nhi-Bi-Mat-2-2/cover/Thieu-Nhi-Bi-Mat-2-2__01.jpeg,https://cdn2.suno.ai/image_c4080ef2-9a0a-470f-9d2a-705e0811a7a1.jpeg,draft,8.3,8.0
Thieu-Nhi Bí Mật 2 2 #2,Thieu-Nhi Bí Mật 2 2,2,#2,499143f8-08b0-4953-ab91-20da75083ad3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Thieu-Nhi/2026-07-01_Thieu-Nhi-Bi-Mat-2-2/audio/Thieu-Nhi-Bi-Mat-2-2__02.mp3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Thieu-Nhi/2026-07-01_Thieu-Nhi-Bi-Mat-2-2/cover/Thieu-Nhi-Bi-Mat-2-2__02.jpeg,https://cdn2.suno.ai/image_499143f8-08b0-4953-ab91-20da75083ad3.jpeg,draft,8.3,8.0
