title,project_title,take_no,label,suno_id,audio_path,cover_path,image_url,status,style_score,lyric_score
Bản Đồ Trong Lồng Ngực #1,Bản Đồ Trong Lồng Ngực,1,#1,8d2cf1d9-a559-4d73-95d0-f4d547aa3577,/root/.openclaw/workspace/suno-automato-cli/suno-library/Rap/2026-06-30_Ban-Do-Trong-Long-Nguc/audio/Ban-Do-Trong-Long-Nguc__01.mp3,,,draft,5.8,9.0
Bản Đồ Trong Lồng Ngực #2,Bản Đồ Trong Lồng Ngực,2,#2,6c7dc395-2bd5-439b-bd10-002232061213,/root/.openclaw/workspace/suno-automato-cli/suno-library/Rap/2026-06-30_Ban-Do-Trong-Long-Nguc/audio/Ban-Do-Trong-Long-Nguc__02.mp3,,,draft,5.8,9.0
Mưa Gõ Nhịp Trên Chùa Cũ #1,Mưa Gõ Nhịp Trên Chùa Cũ,1,#1,831963ca-587e-4b31-a116-a65d5ccbcc2c,/root/.openclaw/workspace/suno-automato-cli/suno-library/Rap/2026-06-30_Mua-Go-Nhip-Tren-Chua-Cu/audio/Mua-Go-Nhip-Tren-Chua-Cu__01.mp3,,,draft,6.7,8.0
Mưa Gõ Nhịp Trên Chùa Cũ #2,Mưa Gõ Nhịp Trên Chùa Cũ,2,#2,b7d28853-959b-4141-be13-b480a808e047,/root/.openclaw/workspace/suno-automato-cli/suno-library/Rap/2026-06-30_Mua-Go-Nhip-Tren-Chua-Cu/audio/Mua-Go-Nhip-Tren-Chua-Cu__02.mp3,,,draft,6.7,8.0
Thành Phố Biết Thở #1,Thành Phố Biết Thở,1,#1,7c1da9f0-2147-4d6a-9d96-325e6fa30c08,/root/.openclaw/workspace/suno-automato-cli/suno-library/Rap/2026-06-30_Thanh-Pho-Biet-Tho/audio/Thanh-Pho-Biet-Tho__01.mp3,,,draft,9.2,9.0
Thành Phố Biết Thở #2,Thành Phố Biết Thở,2,#2,e97fd54f-71d7-4c45-8f91-904ebb8a8bee,/root/.openclaw/workspace/suno-automato-cli/suno-library/Rap/2026-06-30_Thanh-Pho-Biet-Tho/audio/Thanh-Pho-Biet-Tho__02.mp3,,,draft,9.2,9.0
Lửa Dưới Đáy Ly Đen #1,Lửa Dưới Đáy Ly Đen,1,#1,72d3dce5-fb7e-4c4e-8bf5-4ada4cc7bd90,/root/.openclaw/workspace/suno-automato-cli/suno-library/Rap/2026-06-30_Lua-Duoi-Day-Ly-Den/audio/Lua-Duoi-Day-Ly-Den__01.mp3,,,draft,10.0,10.0
Lửa Dưới Đáy Ly Đen #2,Lửa Dưới Đáy Ly Đen,2,#2,55d4285b-8e16-45fd-86eb-f57bb8f9f8fd,/root/.openclaw/workspace/suno-automato-cli/suno-library/Rap/2026-06-30_Lua-Duoi-Day-Ly-Den/audio/Lua-Duoi-Day-Ly-Den__02.mp3,,,draft,10.0,10.0
